titulo,preco,area,quartos,banheiros,garagem,endereco,UF,cidade,tipo_imovel
Apartamento com 2 Quartos à Venda com 57m²,335000.0,57,2,1,1,"Rua Barão de Mesquita - Tijuca, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Apartamento
Casa com 3 Quartos à Venda com 142m²,600000.0,142,3,3,3,"Rua Doutor Urbano Toniolo, 445 - Cajuru, Curitiba - PR",PR,Curitiba,Casa
Apartamento com 3 Quartos à Venda com 86m²,560000.0,86,3,2,2,"Rua H-15, 15 - Calhau, São Luís - MA",MA,São Luís,Apartamento
Apartamento com 3 Quartos à Venda/Aluguel 73m²,680000.0,73,3,1,1,"Rua Estácio de Sá - Chácara das Pedras, Porto Alegre - RS",RS,Porto Alegre,Apartamento
Casa com 3 Quartos à Venda com 525m²,850000.0,525,3,2,4,"Rua Napoleão Laureano, 414 - Fátima, Fortaleza - CE",CE,Fortaleza,Casa
Casa com 4 Quartos à Venda com 716m²,6500000.0,716,4,6,3,"Rua Pedra de Itaúna, 120 - Barra da Tijuca, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Casa
Casa com 2 Quartos à Venda com 112m²,250000.0,112,2,2,2,"Quadra 406, 13 - Recanto das Emas, Brasília - DF",DF,Brasília,Casa
Apartamento com 2 Quartos à Venda com 60m²,330000.0,60,2,2,1,"Rua Dom Fernando, 49 - Independência, Cachoeiro de Itapemirim - ES",ES,Cachoeiro de Itapemirim,Apartamento
Apartamento com 2 Quartos à Venda com 55m²,500000.0,55,2,1,1,"Rua Professor Joaquim Cardoso de Matos, 745 - da Luz, Nova Iguaçu - RJ",RJ,Nova Iguaçu,Apartamento
Casa de condomínio com 4 Quartos à Venda com 180m²,600000.0,180,4,3,2,"Rua Albino Pereira, 367 - São Francisco, Niterói - RJ",RJ,Niterói,Casa
Apartamento com 3 Quartos à Venda com 100m²,820000.0,100,3,2,1,"Rua Belfort Roxo, 320 - Copacabana, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Apartamento
